Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,data
Puglia,980,44487,31979,798,1690,5%,1499,37,"3,50%",191,"4,77","1,60%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Sardegna,505,18998,12464,764,584,5%,512,31,"1,80%",72,"4,42","2,90%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Sicilia,1249,54378,37913,763,1847,5%,1604,32,"0,40%",243,"4,89","0,80%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Toscana,1323,96028,52419,1408,2128,4%,1832,49,"2,60%",296,"7,95","-0,70%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Umbria,105,21874,10483,1191,449,4%,371,42,"0,80%",78,"8,86","4,00%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Valle d'Aosta,77,6099,1849,1473,159,9%,146,116,"1,40%",13,"10,36","-7,10%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Veneto,2540,125222,73727,1502,2570,3%,2280,46,"3,10%",290,"5,91","3,20%",Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,2020-11-23
Abruzzo,536,24822,16656,1276,743,4%,672,51,"0,00%",71,"5,44","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Basilicata,261,6889,5591,1004,179,3%,160,29,"1,90%",19,"3,41","-17,40%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Calabria,307,14524,10135,527,471,5%,429,22,"-1,40%",42,"2,18","-10,60%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Campania,1764,140195,102851,1778,2475,2%,2274,39,"-2,40%",201,"3,47","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Emilia-Romagna,2501,110571,71344,1597,2966,4%,2723,61,"-0,50%",243,"5,44","-2,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Friuli Venezia Giulia,554,25589,13347,1102,615,5%,561,46,"-0,70%",54,"4,46","-1,80%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Lazio,2509,107490,85796,1463,3706,4%,3361,57,"0,30%",345,"5,88","3,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Liguria,509,48921,14783,958,1300,9%,1179,76,"-5,50%",121,"7,84","-0,80%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Lombardia,4886,381785,148760,1472,9292,6%,8360,83,"0,30%",932,"9,22","-1,40%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Marche,351,27106,15717,1035,644,4%,555,37,"0,90%",89,"5,86","-1,10%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Molise,71,4071,2459,814,71,3%,61,20,"7,00%",10,"3,31","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
P.A. Bolzano,160,21620,11656,2191,499,4%,459,86,"-3,00%",40,"7,52","5,30%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
P.A. Trento,143,14368,2472,455,478,19%,436,80,"0,70%",42,"7,74","-2,30%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Piemonte,2070,153375,77075,1775,5520,7%,5116,118,"0,10%",404,"9,31","1,30%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Puglia,1567,46054,32959,822,1690,5%,1485,37,"-0,90%",205,"5,11","7,30%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Sardegna,290,19288,12562,770,600,5%,527,32,"2,90%",73,"4,48","1,40%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Sicilia,1306,55684,38199,769,1844,5%,1601,32,"-0,20%",243,"4,89","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Toscana,962,96990,50706,1362,2067,4%,1771,48,"-3,30%",296,"7,95","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Umbria,218,22092,10197,1158,440,4%,368,42,"-0,80%",72,"8,18","-7,70%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Valle d'Aosta,73,6172,1767,1408,157,9%,143,114,"-2,10%",14,"11,16","7,70%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Veneto,2194,127416,73354,1495,2636,4%,2336,48,"2,50%",300,"6,11","3,40%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,2020-11-24
Abruzzo,623,25445,17032,1304,748,4%,676,52,"0,60%",72,"5,51","1,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Basilicata,329,7218,5867,1053,176,3%,154,28,"-3,80%",22,"3,95","15,80%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Calabria,335,14859,10264,533,468,5%,425,22,"-0,90%",43,"2,23","2,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Campania,2815,143010,102148,1765,2474,2%,2282,39,"0,40%",192,"3,32","-4,50%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Emilia-Romagna,2130,112700,72526,1624,3012,4%,2763,62,"1,50%",249,"5,57","2,50%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Friuli Venezia Giulia,696,26285,13536,1117,642,5%,588,49,"4,80%",54,"4,46","0,00%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Lazio,2102,109592,86565,1476,3697,4%,3348,57,"-0,40%",349,"5,95","1,20%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Liguria,460,49381,14055,911,1238,9%,1115,72,"-5,40%",123,"7,97","1,70%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Lombardia,5173,386958,138029,1366,9056,7%,8114,80,"-2,90%",942,"9,32","1,10%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Marche,448,27554,16031,1056,672,4%,578,38,"4,10%",94,"6,19","5,60%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Molise,106,4177,2550,844,76,3%,66,22,"8,20%",10,"3,31","0,00%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
P.A. Bolzano,341,21961,11600,2180,483,4%,442,83,"-3,70%",41,"7,71","2,50%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
P.A. Trento,179,14547,2447,451,462,19%,421,78,"-3,40%",41,"7,55","-2,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Piemonte,2878,156253,77921,1795,5498,7%,5095,117,"-0,40%",403,"9,28","-0,20%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Puglia,1511,47565,34071,850,1693,5%,1483,37,"-0,10%",210,"5,24","2,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Sardegna,351,19639,12697,779,591,5%,515,32,"-2,30%",76,"4,66","4,10%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Sicilia,1317,57001,38320,771,1824,5%,1574,32,"-1,70%",250,"5,03","2,90%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Toscana,986,97976,49280,1324,2040,4%,1754,47,"-1,00%",286,"7,68","-3,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Umbria,386,22478,9937,1129,431,4%,361,41,"-1,90%",70,"7,95","-2,80%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Valle d'Aosta,27,6199,1683,1341,153,9%,137,109,"-4,20%",16,"12,75","14,30%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Veneto,2660,130076,75138,1531,2727,4%,2422,49,"3,70%",305,"6,21","1,70%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,2020-11-25
Abruzzo,570,26015,17334,1327,768,4%,694,53,"2,70%",74,"5,67","2,80%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Basilicata,236,7454,6100,1095,178,3%,156,28,"1,30%",22,"3,95","0,00%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Calabria,397,15256,10466,544,473,5%,428,22,"0,70%",45,"2,34","4,70%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Campania,3008,146018,103384,1787,2412,2%,2212,38,"-3,10%",200,"3,46","4,20%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Emilia-Romagna,2157,114855,71472,1600,2937,4%,2679,60,"-3,00%",258,"5,78","3,60%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Friuli Venezia Giulia,814,27099,13822,1141,654,5%,599,49,"1,90%",55,"4,54","1,90%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Lazio,2260,111852,87303,1488,3760,4%,3408,58,"1,80%",352,"6,00","0,90%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Liguria,570,49951,13492,874,1189,9%,1075,70,"-3,60%",114,"7,39","-7,30%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Lombardia,5697,392655,140401,1390,8930,6%,7996,79,"-1,50%",934,"9,24","-0,80%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Marche,519,28073,16409,1081,676,4%,586,39,"1,40%",90,"5,93","-4,30%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Molise,108,4285,2652,877,78,3%,69,23,"4,50%",9,"2,98","-10,00%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
P.A. Bolzano,292,22253,11450,2152,474,4%,434,82,"-1,80%",40,"7,52","-2,40%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
P.A. Trento,297,14844,2362,435,460,19%,417,77,"-1,00%",43,"7,92","4,90%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Piemonte,2751,159004,78406,1806,5395,7%,4992,115,"-2,00%",403,"9,28","0,00%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Puglia,1436,49001,34979,873,1788,5%,1577,39,"6,30%",211,"5,26","0,50%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Sardegna,405,20044,12971,796,608,5%,535,33,"3,90%",73,"4,48","-3,90%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Sicilia,1768,58769,38508,775,1798,5%,1545,31,"-1,80%",253,"5,09","1,20%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Toscana,1351,99327,48135,1293,1993,4%,1712,46,"-2,40%",281,"7,55","-1,70%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Umbria,343,22821,9434,1072,417,4%,349,40,"-3,30%",68,"7,72","-2,90%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Valle d'Aosta,44,6243,1613,1285,145,9%,128,102,"-6,60%",17,"13,55","6,30%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Veneto,3980,134056,75152,1531,2751,4%,2447,50,"1,00%",304,"6,19","-0,30%",Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,2020-11-26
Abruzzo,510,26525,17560,1345,763,4%,689,53,"-0,70%",74,"5,67","0,00%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Basilicata,218,7663,5965,1071,176,3%,153,27,"-1,90%",23,"4,13","4,50%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Calabria,468,15724,10822,562,476,4%,432,22,"0,90%",44,"2,29","-2,20%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Campania,2924,148942,103982,1797,2372,2%,2188,38,"-1,10%",184,"3,18","-8,00%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Emilia-Romagna,2165,117019,70289,1573,2923,4%,2673,60,"-0,20%",250,"5,60","-3,10%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Friuli Venezia Giulia,864,27963,14255,1177,649,5%,594,49,"-0,80%",55,"4,54","0,00%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Lazio,2276,114128,87934,1499,3762,4%,3407,58,"0,00%",355,"6,05","0,90%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Liguria,606,50557,13011,843,1128,9%,1019,66,"-5,20%",109,"7,06","-4,40%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Lombardia,5389,398044,130555,1292,8794,7%,7869,78,"-1,60%",925,"9,15","-1,00%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Marche,490,28563,16843,1109,655,4%,564,37,"-3,80%",91,"5,99","1,10%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Molise,79,4364,2625,868,73,3%,62,21,"-10,10%",11,"3,64","22,20%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
P.A. Bolzano,410,22663,11483,2158,456,4%,414,78,"-4,60%",42,"7,89","5,00%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
P.A. Trento,229,15073,2309,425,452,20%,408,75,"-2,20%",44,"8,11","2,30%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Piemonte,3149,162153,77589,1787,5317,7%,4922,113,"-1,40%",395,"9,10","-2,00%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Puglia,1737,50738,36417,909,1855,5%,1654,41,"4,90%",201,"5,01","-4,70%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Sardegna,375,20419,13155,807,599,5%,528,32,"-1,30%",71,"4,35","-2,70%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Sicilia,1566,60335,39083,787,1789,5%,1539,31,"-0,40%",250,"5,03","-1,20%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Toscana,1117,100444,46531,1250,1925,4%,1647,44,"-3,80%",278,"7,47","-1,10%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Umbria,261,23082,9050,1028,415,5%,353,40,"1,10%",62,"7,04","-8,80%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Valle d'Aosta,101,6344,1547,1233,144,9%,129,103,"0,80%",15,"11,95","-11,80%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Veneto,3418,137474,76888,1567,2743,4%,2440,50,"-0,30%",303,"6,17","-0,30%",Dati della Protezione Civile del 27 Novembre 2020 ore 20:10,2020-11-27
Abruzzo,532,27056,17762,1360,757,4%,680,52,"-1,30%",77,"5,90","4,10%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Basilicata,215,7878,6073,1090,164,3%,142,25,"-7,20%",22,"3,95","-4,30%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Calabria,426,16150,10984,571,452,4%,410,21,"-5,10%",42,"2,18","-4,50%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Campania,2729,151671,104383,1804,2350,2%,2164,37,"-1,10%",186,"3,21","1,10%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Emilia-Romagna,2172,119184,69783,1562,2918,4%,2673,60,"0,00%",245,"5,48","-2,00%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Friuli Venezia Giulia,1432,29395,13996,1155,657,5%,604,50,"1,70%",53,"4,38","-3,60%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Lazio,2070,116198,89262,1522,3708,4%,3352,57,"-1,60%",356,"6,07","0,30%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Liguria,454,51011,12725,825,1085,9%,968,63,"-5,00%",117,"7,58","7,30%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Lombardia,4615,402659,130315,1290,8535,7%,7616,75,"-3,20%",919,"9,10","-0,60%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Marche,473,29036,17243,1136,656,4%,571,38,"1,20%",85,"5,60","-6,60%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Molise,148,4512,2597,859,71,3%,59,20,"-4,80%",12,"3,97","9,10%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
P.A. Bolzano,494,23157,11558,2172,445,4%,409,77,"-1,20%",36,"6,77","-14,30%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
P.A. Trento,219,15292,2133,393,446,21%,404,74,"-1,00%",42,"7,74","-4,50%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Piemonte,2157,164310,76077,1752,5165,7%,4781,110,"-2,90%",384,"8,85","-2,80%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Puglia,1573,52311,37654,939,1875,5%,1675,42,"1,30%",200,"4,99","-0,50%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Sardegna,311,20730,13119,805,617,5%,544,33,"3,00%",73,"4,48","2,80%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Sicilia,1189,61524,39882,803,1766,4%,1519,31,"-1,30%",247,"4,97","-1,20%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Toscana,1196,101640,45072,1211,1872,4%,1593,43,"-3,30%",279,"7,49","0,40%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Umbria,348,23430,8653,983,415,5%,351,40,"-0,60%",64,"7,27","3,20%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Valle d'Aosta,72,6416,1465,1167,144,10%,130,104,"0,80%",14,"11,16","-6,70%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Veneto,3498,140972,78572,1601,2963,4%,2654,54,"8,80%",309,"6,30","2,00%",Dati della Protezione Civile del 28 Novembre 2020 ore 18:50,2020-11-28
Abruzzo,556,28024,18192,1393,790,4%,714,55,"8,30%",76,"5,82","1,30%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Basilicata,92,8142,6192,1112,172,3%,150,27,"6,40%",22,"3,95","-12,00%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Calabria,270,16714,10970,570,442,4%,400,21,"-1,20%",42,"2,18","-2,30%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Campania,1626,155319,104527,1807,2323,2%,2141,37,"-1,10%",182,"3,15","-0,50%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Emilia-Romagna,2041,123073,71734,1606,3004,4%,2755,62,"3,30%",249,"5,57","1,60%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Friuli Venezia Giulia,575,30650,14515,1198,688,5%,633,52,"2,10%",55,"4,54","-3,50%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Lazio,1589,119780,90201,1538,3734,4%,3384,58,"0,80%",350,"5,97","-1,40%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Liguria,236,51684,12216,792,1110,9%,997,65,"2,80%",113,"7,32","1,80%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Lombardia,1929,407791,125408,1241,8339,7%,7433,74,"0,40%",906,"8,97","-0,10%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Marche,252,29806,17916,1180,672,4%,585,39,"-2,20%",87,"5,73","2,40%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Molise,87,4713,2720,900,76,3%,62,21,"1,60%",14,"4,63","7,70%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
P.A. Bolzano,183,23777,11322,2128,465,4%,428,80,"1,90%",37,"6,95","2,80%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
P.A. Trento,176,15733,2448,451,459,19%,415,76,"2,70%",44,"8,11","0,00%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Piemonte,1185,167516,74943,1726,5125,7%,4737,109,"0,10%",388,"8,94","0,80%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Puglia,1102,54320,38772,967,1901,5%,1692,42,"1,00%",209,"5,21","-1,40%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Sardegna,329,21475,13528,830,650,5%,580,36,"4,70%",70,"4,29","1,40%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Sicilia,1138,63686,40624,818,1773,4%,1547,31,"1,60%",226,"4,55","-6,20%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Toscana,893,103441,42026,1129,1862,4%,1584,43,"-0,40%",278,"7,47","0,00%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Umbria,68,23808,8235,935,431,5%,366,42,"3,10%",65,"7,38","0,00%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Valle d'Aosta,47,6510,1317,1049,135,10%,124,99,"-10,10%",11,"8,76","-15,40%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Veneto,2003,145592,80665,1644,2780,3%,2460,50,"0,70%",320,"6,52","2,90%",Dati della Protezione Civile del 30 Novembre 2020 ore 19:13,2020-11-30
Abruzzo,376,29980,17247,1321,748,4%,675,52,-3.6&,73,5.59,0%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Basilicata,131,8859,6412,1151,153,2%,134,24,-18.8&,19,3.41,-5%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Calabria,306,18197,10662,554,408,4%,379,20,-2.8&,29,1.51,-14.7%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Campania,1521,163741,101361,1752,1723,2%,1558,27,-22.1&,165,2.85,-0.6%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Emilia-Romagna,1964,131973,69629,1559,2950,4%,2707,61,-0.4&,243,5.44,-2%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Friuli Venezia Giulia,755,34765,15064,1244,698,5%,640,53,1.3&,58,4.79,-1.7%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Lazio,1783,128623,93479,1594,3424,4%,3075,52,-3.2&,349,5.95,-3.1%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Liguria,314,53475,10518,682,990,9%,897,58,-1.6&,93,6.03,-6.1%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Lombardia,3148,426696,115756,1146,7359,6%,6554,65,-3.5&,805,7.97,-2.1%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Marche,418,31950,19698,1297,590,3%,506,33,-2.3&,84,5.53,-3.4%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Molise,152,5250,2685,888,70,3%,61,20,-4.7&,9,2.98,-10%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
P.A. Bolzano,266,25113,11112,2088,441,4%,410,77,-1.9&,31,5.83,-3.1%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
P.A. Trento,226,16887,2519,464,452,18%,404,74,-2.7&,48,8.84,2.1%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Piemonte,1456,176519,66763,1538,4642,7%,4276,98,-1.7&,366,8.43,2.5%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Puglia,1884,62552,44160,1102,1796,4%,1576,39,-1.3&,220,5.49,-3.1%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
Sardegna,464,23893,14857,911,674,5%,607,37,2.7&,67,4.11,-4.3%,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,2020-12-05
