DATA_DECESSO,DECESSI,iss_date
05/02/2022,302,08/08/2022
06/02/2022,311,08/08/2022
07/02/2022,305,08/08/2022
08/02/2022,292,08/08/2022
09/02/2022,274,08/08/2022
10/02/2022,279,08/08/2022
11/02/2022,284,08/08/2022
12/02/2022,268,08/08/2022
13/02/2022,225,08/08/2022
14/02/2022,306,08/08/2022
15/02/2022,259,08/08/2022
16/02/2022,255,08/08/2022
17/02/2022,247,08/08/2022
18/02/2022,236,08/08/2022
19/02/2022,188,08/08/2022
20/02/2022,183,08/08/2022
21/02/2022,229,08/08/2022
22/02/2022,196,08/08/2022
23/02/2022,199,08/08/2022
24/02/2022,200,08/08/2022
25/02/2022,188,08/08/2022
26/02/2022,176,08/08/2022
27/02/2022,148,08/08/2022
28/02/2022,176,08/08/2022
01/03/2022,178,08/08/2022
02/03/2022,167,08/08/2022
03/03/2022,169,08/08/2022
04/03/2022,160,08/08/2022
05/03/2022,127,08/08/2022
06/03/2022,110,08/08/2022
07/03/2022,131,08/08/2022
08/03/2022,143,08/08/2022
09/03/2022,118,08/08/2022
10/03/2022,127,08/08/2022
11/03/2022,124,08/08/2022
12/03/2022,103,08/08/2022
13/03/2022,109,08/08/2022
14/03/2022,142,08/08/2022
15/03/2022,109,08/08/2022
16/03/2022,131,08/08/2022
17/03/2022,115,08/08/2022
18/03/2022,92,08/08/2022
19/03/2022,113,08/08/2022
20/03/2022,115,08/08/2022
21/03/2022,130,08/08/2022
22/03/2022,117,08/08/2022
23/03/2022,134,08/08/2022
24/03/2022,118,08/08/2022
25/03/2022,117,08/08/2022
26/03/2022,125,08/08/2022
27/03/2022,132,08/08/2022
28/03/2022,138,08/08/2022
29/03/2022,134,08/08/2022
30/03/2022,140,08/08/2022
31/03/2022,135,08/08/2022
01/04/2022,141,08/08/2022
02/04/2022,124,08/08/2022
03/04/2022,123,08/08/2022
04/04/2022,144,08/08/2022
05/04/2022,152,08/08/2022
06/04/2022,134,08/08/2022
07/04/2022,119,08/08/2022
08/04/2022,131,08/08/2022
09/04/2022,114,08/08/2022
10/04/2022,109,08/08/2022
11/04/2022,139,08/08/2022
12/04/2022,138,08/08/2022
13/04/2022,132,08/08/2022
14/04/2022,138,08/08/2022
15/04/2022,130,08/08/2022
16/04/2022,115,08/08/2022
17/04/2022,135,08/08/2022
18/04/2022,113,08/08/2022
19/04/2022,152,08/08/2022
20/04/2022,136,08/08/2022
21/04/2022,142,08/08/2022
22/04/2022,108,08/08/2022
23/04/2022,102,08/08/2022
24/04/2022,119,08/08/2022
25/04/2022,138,08/08/2022
26/04/2022,133,08/08/2022
27/04/2022,128,08/08/2022
28/04/2022,124,08/08/2022
29/04/2022,130,08/08/2022
