iss_date,DATA_INIZIO_SINTOMI,CASI
12/12/2020,23/04/2020,1201
12/12/2020,24/04/2020,1075
12/12/2020,25/04/2020,857
12/12/2020,26/04/2020,646
12/12/2020,27/04/2020,1087
12/12/2020,28/04/2020,837
12/12/2020,29/04/2020,890
12/12/2020,30/04/2020,838
12/12/2020,01/05/2020,663
12/12/2020,02/05/2020,473
12/12/2020,03/05/2020,380
12/12/2020,04/05/2020,606
12/12/2020,05/05/2020,605
12/12/2020,06/05/2020,530
12/12/2020,07/05/2020,479
12/12/2020,08/05/2020,484
12/12/2020,09/05/2020,268
12/12/2020,10/05/2020,331
12/12/2020,11/05/2020,381
12/12/2020,12/05/2020,431
12/12/2020,13/05/2020,362
12/12/2020,14/05/2020,311
12/12/2020,15/05/2020,312
12/12/2020,16/05/2020,221
12/12/2020,17/05/2020,172
12/12/2020,18/05/2020,296
12/12/2020,19/05/2020,237
12/12/2020,20/05/2020,272
12/12/2020,21/05/2020,193
12/12/2020,22/05/2020,174
12/12/2020,23/05/2020,123
12/12/2020,24/05/2020,79
12/12/2020,25/05/2020,205
12/12/2020,26/05/2020,171
12/12/2020,27/05/2020,191
12/12/2020,28/05/2020,145
12/12/2020,29/05/2020,136
12/12/2020,30/05/2020,113
12/12/2020,31/05/2020,60
12/12/2020,01/06/2020,168
12/12/2020,02/06/2020,63
12/12/2020,03/06/2020,130
12/12/2020,04/06/2020,116
12/12/2020,05/06/2020,139
12/12/2020,06/06/2020,87
12/12/2020,07/06/2020,64
12/12/2020,08/06/2020,125
12/12/2020,09/06/2020,114
12/12/2020,10/06/2020,115
12/12/2020,11/06/2020,92
12/12/2020,12/06/2020,115
12/12/2020,13/06/2020,66
12/12/2020,14/06/2020,75
12/12/2020,15/06/2020,105
12/12/2020,16/06/2020,93
12/12/2020,17/06/2020,88
12/12/2020,18/06/2020,90
12/12/2020,19/06/2020,82
12/12/2020,20/06/2020,60
12/12/2020,21/06/2020,57
12/12/2020,22/06/2020,86
12/12/2020,23/06/2020,71
12/12/2020,24/06/2020,87
12/12/2020,25/06/2020,83
12/12/2020,26/06/2020,94
12/12/2020,27/06/2020,75
12/12/2020,28/06/2020,50
12/12/2020,29/06/2020,98
12/12/2020,30/06/2020,66
12/12/2020,01/07/2020,114
12/12/2020,02/07/2020,87
12/12/2020,03/07/2020,74
12/12/2020,04/07/2020,79
12/12/2020,05/07/2020,66
12/12/2020,06/07/2020,97
12/12/2020,07/07/2020,98
12/12/2020,08/07/2020,103
12/12/2020,09/07/2020,83
