DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
20/05/2022,24581,15/12/2022
20/06/2020,165,15/12/2022
20/06/2021,367,15/12/2022
20/06/2022,69196,15/12/2022
20/07/2020,319,15/12/2022
20/07/2021,5085,15/12/2022
20/07/2022,81537,15/12/2022
20/08/2020,1167,15/12/2022
20/08/2021,7529,15/12/2022
20/08/2022,20038,15/12/2022
20/09/2020,659,15/12/2022
20/09/2021,4269,15/12/2022
20/09/2022,21224,15/12/2022
20/10/2020,19775,15/12/2022
20/10/2021,3969,15/12/2022
20/10/2022,35391,15/12/2022
20/11/2020,32911,15/12/2022
20/11/2021,9759,15/12/2022
20/11/2022,11343,15/12/2022
20/12/2020,6460,15/12/2022
20/12/2021,38834,15/12/2022
21/01/2021,12961,15/12/2022
21/01/2022,174892,15/12/2022
21/02/2020,36,15/12/2022
21/02/2021,5805,15/12/2022
21/02/2022,65752,15/12/2022
21/03/2020,4922,15/12/2022
21/03/2021,8436,15/12/2022
21/03/2022,105180,15/12/2022
21/04/2020,3081,15/12/2022
21/04/2021,14851,15/12/2022
21/04/2022,73290,15/12/2022
21/05/2020,621,15/12/2022
21/05/2021,4536,15/12/2022
21/05/2022,18075,15/12/2022
21/06/2020,62,15/12/2022
21/06/2021,958,15/12/2022
21/06/2022,53330,15/12/2022
21/07/2020,279,15/12/2022
21/07/2021,5144,15/12/2022
21/07/2022,71380,15/12/2022
21/08/2020,1423,15/12/2022
21/08/2021,5743,15/12/2022
21/08/2022,9000,15/12/2022
21/09/2020,1974,15/12/2022
21/09/2021,4153,15/12/2022
21/09/2022,22524,15/12/2022
21/10/2020,22852,15/12/2022
21/10/2021,4065,15/12/2022
21/10/2022,33301,15/12/2022
21/11/2020,22867,15/12/2022
21/11/2021,4447,15/12/2022
21/11/2022,54689,15/12/2022
21/12/2020,17353,15/12/2022
21/12/2021,42756,15/12/2022
22/01/2021,13769,15/12/2022
22/01/2022,136629,15/12/2022
22/02/2020,58,15/12/2022
22/02/2021,18038,15/12/2022
22/02/2022,46164,15/12/2022
22/03/2020,3927,15/12/2022
22/03/2021,23394,15/12/2022
22/03/2022,77885,15/12/2022
22/04/2020,2604,15/12/2022
22/04/2021,14298,15/12/2022
22/04/2022,72570,15/12/2022
22/05/2020,685,15/12/2022
22/05/2021,3648,15/12/2022
22/05/2022,8732,15/12/2022
22/06/2020,338,15/12/2022
22/06/2021,941,15/12/2022
22/06/2022,58408,15/12/2022
22/07/2020,289,15/12/2022
22/07/2021,4970,15/12/2022
22/07/2022,69480,15/12/2022
22/08/2020,1059,15/12/2022
22/08/2021,3123,15/12/2022
22/08/2022,37626,15/12/2022
22/09/2020,1935,15/12/2022
22/09/2021,3879,15/12/2022
22/09/2022,21921,15/12/2022
22/10/2020,24286,15/12/2022
22/10/2021,4541,15/12/2022
22/10/2022,25392,15/12/2022
22/11/2020,10860,15/12/2022
22/11/2021,13041,15/12/2022
22/11/2022,32828,15/12/2022
22/12/2020,19675,15/12/2022
22/12/2021,52175,15/12/2022
23/01/2021,10556,15/12/2022
23/01/2022,61806,15/12/2022
23/02/2020,77,15/12/2022
23/02/2021,19938,15/12/2022
23/02/2022,47172,15/12/2022
23/03/2020,6102,15/12/2022
23/03/2021,24609,15/12/2022
23/03/2022,82551,15/12/2022
23/04/2020,2810,15/12/2022
23/04/2021,14534,15/12/2022
23/04/2022,55967,15/12/2022
23/05/2020,356,15/12/2022
23/05/2021,1480,15/12/2022
23/05/2022,34107,15/12/2022
23/06/2020,289,15/12/2022
23/06/2021,809,15/12/2022
23/06/2022,57761,15/12/2022
23/07/2020,270,15/12/2022
23/07/2021,5454,15/12/2022
23/07/2022,52187,15/12/2022
23/08/2020,716,15/12/2022
23/08/2021,7854,15/12/2022
23/08/2022,25373,15/12/2022
23/09/2020,2059,15/12/2022
23/09/2021,3564,15/12/2022
23/09/2022,22702,15/12/2022
23/10/2020,26218,15/12/2022
23/10/2021,3647,15/12/2022
23/10/2022,10587,15/12/2022
23/11/2020,28522,15/12/2022
23/11/2021,13843,15/12/2022
23/11/2022,37074,15/12/2022
23/12/2020,19185,15/12/2022
23/12/2021,59180,15/12/2022
24/01/2021,4890,15/12/2022
24/01/2022,209647,15/12/2022
24/02/2020,86,15/12/2022
24/02/2021,19982,15/12/2022
24/02/2022,41162,15/12/2022
24/03/2020,5918,15/12/2022
24/03/2021,24300,15/12/2022
24/03/2022,75666,15/12/2022
24/04/2020,2740,15/12/2022
24/04/2021,12079,15/12/2022
24/04/2022,24253,15/12/2022
24/05/2020,147,15/12/2022
24/05/2021,3997,15/12/2022
24/05/2022,22567,15/12/2022
24/06/2020,208,15/12/2022
24/06/2021,799,15/12/2022
24/06/2022,58505,15/12/2022
24/07/2020,313,15/12/2022
24/07/2021,4257,15/12/2022
24/07/2022,21511,15/12/2022
24/08/2020,1672,15/12/2022
24/08/2021,7951,15/12/2022
24/08/2022,22721,15/12/2022
24/09/2020,2015,15/12/2022
24/09/2021,3627,15/12/2022
24/09/2022,19273,15/12/2022
24/10/2020,20292,15/12/2022
24/10/2021,1609,15/12/2022
24/10/2022,51125,15/12/2022
24/11/2020,28891,15/12/2022
24/11/2021,13857,15/12/2022
24/11/2022,33740,15/12/2022
24/12/2020,15971,15/12/2022
24/12/2021,59269,15/12/2022
25/01/2021,14390,15/12/2022
25/01/2022,159290,15/12/2022
25/02/2020,193,15/12/2022
25/02/2021,19589,15/12/2022
25/02/2022,39031,15/12/2022
25/03/2020,5806,15/12/2022
