X,Y,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,COORDX,COORDY,OBJECTID_1,DATA_RICEVIMENTO_TAMPONE,POSITIVI,DECEDUTI,FID
10.14330857,45.50000512,"208","3017042",CASTEL MELLA,BRESCIA,BS,LOMBARDIA,10.14330857,45.50000512,"208","1583625600000","4","0","1714"
10.14330857,45.50000512,"208","3017042",CASTEL MELLA,BRESCIA,BS,LOMBARDIA,10.14330857,45.50000512,"208","1583712000000","2","0","1715"
10.14330857,45.50000512,"208","3017042",CASTEL MELLA,BRESCIA,BS,LOMBARDIA,10.14330857,45.50000512,"208","1583798400000","2","0","1716"
10.14330857,45.50000512,"208","3017042",CASTEL MELLA,BRESCIA,BS,LOMBARDIA,10.14330857,45.50000512,"208","1583884800000","2","0","1717"
10.14330857,45.50000512,"208","3017042",CASTEL MELLA,BRESCIA,BS,LOMBARDIA,10.14330857,45.50000512,"208","1583971200000","1","0","1718"
10.29533675,45.46714843,"766","3017043",CASTENEDOLO,BRESCIA,BS,LOMBARDIA,10.29533675,45.46714843,"766","1583193600000","1","0","1719"
10.29533675,45.46714843,"766","3017043",CASTENEDOLO,BRESCIA,BS,LOMBARDIA,10.29533675,45.46714843,"766","1583452800000","4","0","1720"
10.29533675,45.46714843,"766","3017043",CASTENEDOLO,BRESCIA,BS,LOMBARDIA,10.29533675,45.46714843,"766","1583712000000","2","0","1721"
10.29533675,45.46714843,"766","3017043",CASTENEDOLO,BRESCIA,BS,LOMBARDIA,10.29533675,45.46714843,"766","1583798400000","4","0","1722"
10.29533675,45.46714843,"766","3017043",CASTENEDOLO,BRESCIA,BS,LOMBARDIA,10.29533675,45.46714843,"766","1583884800000","3","0","1723"
10.29963446,45.69013958,"394","3017044",CASTO,BRESCIA,BS,LOMBARDIA,10.29963446,45.69013958,"394","1583452800000","1","0","1724"
10.29963446,45.69013958,"394","3017044",CASTO,BRESCIA,BS,LOMBARDIA,10.29963446,45.69013958,"394","1583712000000","2","0","1725"
